"num_round","Leader_P","Follower_P","Leader_Q","Follower_Q","Leader_R","Follower_R"
NA,NA,NA,NA,NA,NA,NA
0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,4951.84190772425,4950.50303551921,403.85264738206,95.49348320884,-Inf,-Inf
2,4456.73476789502,4455.39888307696,363.461218568398,83.4456344721075,-Inf,-Inf
3,3961.61508312887,3960.28290585319,323.070793349691,71.0755378724868,-Inf,-Inf
4,3466.4795735345,3465.15211657659,282.68163411724,60.373737800982,-Inf,-Inf
5,2971.32349662593,2970.00224666515,242.294120269925,49.7951509487021,-Inf,-Inf
0.15,0.15,0.15,0.15,0.15,0.15,0.15
1,3260.74107525579,3259.41784500749,408.711070969306,95.2707746013177,-Inf,-Inf
2,2934.8003379303,2933.47910538627,367.823959448364,83.9630079598032,-Inf,-Inf
3,2608.84688133491,2607.52813857547,326.938374239811,71.3103419404283,-Inf,-Inf
4,2282.87731893247,2281.56176376513,286.054721728104,60.6783038016537,-Inf,-Inf
5,1956.88671483447,1955.57538303518,245.173594219863,50.8445959411207,-Inf,-Inf
0.2,0.2,0.2,0.2,0.2,0.2,0.2
1,2402.63899152366,2401.34589123719,415.577761356215,97.3243828875562,-Inf,-Inf
2,2162.53184055193,2161.24020514255,373.994905511692,84.3862035129465,-Inf,-Inf
3,1922.41197876654,1921.12217153599,332.414083397354,72.8395734686698,-Inf,-Inf
4,1682.27600624684,1680.98854387727,290.835839000506,62.0653969083957,-Inf,-Inf
5,1442.11895566158,1440.83460812985,249.260967094148,51.038217419373,-Inf,-Inf
0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,1877.64067130111,1876.38954999542,424.471865739777,99.6713948032936,-Inf,-Inf
2,1690.03388157218,1688.78389015107,381.993223685564,85.9541864606825,-Inf,-Inf
3,1502.41443881195,1501.16585801868,339.517112237609,74.4045372710532,-Inf,-Inf
4,1314.77895764744,1313.53218714596,297.044208470513,63.8434965386847,-Inf,-Inf
5,1127.12248936348,1125.87812559687,254.575502127305,52.4307508100356,-Inf,-Inf
0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,1519.12679594084,1517.92859001472,435.409568974197,102.961471230527,-Inf,-Inf
2,1367.35371688487,1366.15640835548,391.835107947631,89.1464158746877,-Inf,-Inf
3,1215.56805761285,1214.37186940526,348.263666172917,76.5083939947954,-Inf,-Inf
4,1063.76645717035,1062.57170668971,304.696050279117,65.42447752764,-Inf,-Inf
5,911.944003757964,910.751164833024,261.133439098089,54.1589599188117,-Inf,-Inf
0.35,0.35,0.35,0.35,0.35,0.35,0.35
1,1255.69419180471,1254.55943991224,448.40562629468,105.492420971896,-Inf,-Inf
2,1130.23100542263,1129.09697815617,403.535318481663,91.9147115703338,-Inf,-Inf
3,1004.75531565324,1003.62219279519,358.668511617093,78.0984241232463,-Inf,-Inf
4,879.263789591245,878.131827054519,313.806138914451,66.3504470428055,-Inf,-Inf
