"num_round","Leader_P","Follower_P","Leader_Q","Follower_Q","Leader_R","Follower_R"
NA,NA,NA,NA,NA,NA,NA
1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07
1,95.8507831534596,96.0839813853816,730.987436129509,67.6009113526232,-2.05757582065919e+50,-1.30090620365969e+49
2,85.1924577725828,85.4256012014039,658.66143040374,55.9720481665308,-4.83619661205136e+45,-2.80961972458189e+44
3,74.5223799051035,74.75545527925,586.343886468325,45.4287291320084,-1.12343515311943e+41,-5.95038253942004e+39
4,63.8375152450646,64.0705038522195,514.036989023554,35.9709197948752,-2.57140359896208e+36,-1.23005877929736e+35
5,53.1334795589624,53.3663537519498,441.743894717547,27.5985767491502,-5.77386486057007e+31,-2.4657816872007e+30
0.0500001,0.0500001,0.0500001,0.0500001,0.0500001,0.0500001,0.0500001
1,95.8507831534596,96.0839813853816,730.987436129509,119.976384050927,-2.05757582065919e+50,-2.30881535739018e+49
2,85.1924577725828,85.4256012014039,658.66143040374,102.948239612199,-4.83619661205136e+45,-5.16767590431638e+44
3,74.5223799051035,74.75545527925,586.343886468325,87.6484381269159,-1.12343515311943e+41,-1.14804386079638e+40
4,63.8375152450646,64.0705038522195,514.036989023554,72.456744151371,-2.57140359896208e+36,-2.47772519498916e+35
5,53.1334795589624,53.3663537519498,441.743894717547,59.0817612360678,-5.77386486057007e+31,-5.2786318014731e+30
0.1000001,0.1000001,0.1000001,0.1000001,0.1000001,0.1000001,0.1000001
1,95.8507831534596,96.0839813853816,730.987436129509,172.52838451831,-2.05757582065919e+50,-3.32012159653444e+49
2,85.1924577725828,85.4256012014039,658.66143040374,150.725028502812,-4.83619661205136e+45,-7.56591954272799e+44
3,74.5223799051035,74.75545527925,586.343886468325,129.352257487996,-1.12343515311943e+41,-1.69429220032664e+40
4,63.8375152450646,64.0705038522195,514.036989023554,108.267453129667,-2.57140359896208e+36,-3.70230541764702e+35
5,53.1334795589624,53.3663537519498,441.743894717547,91.4824855114258,-5.77386486057007e+31,-8.17345907087848e+30
0.1500001,0.1500001,0.1500001,0.1500001,0.1500001,0.1500001,0.1500001
1,95.8507831534596,96.0839813853816,730.987436129509,225.34124345941,-2.05757582065919e+50,-4.33644777401896e+49
2,85.1924577725828,85.4256012014039,658.66143040374,197.226616385031,-4.83619661205136e+45,-9.90015212520449e+44
3,74.5223799051035,74.75545527925,586.343886468325,171.242303244589,-1.12343515311943e+41,-2.24297978549158e+40
4,63.8375152450646,64.0705038522195,514.036989023554,144.41572024331,-2.57140359896208e+36,-4.93842875208165e+35
5,53.1334795589624,53.3663537519498,441.743894717547,122.267458905543,-5.77386486057007e+31,-1.0923927847806e+31
0.2000001,0.2000001,0.2000001,0.2000001,0.2000001,0.2000001,0.2000001
1,95.8507831534596,96.0839813853816,730.987436129509,277.455857269413,-2.05757582065919e+50,-5.33933698143098e+49
2,85.1924577725828,85.4256012014039,658.66143040374,242.537322627315,-4.83619661205136e+45,-1.21746062172594e+45
3,74.5223799051035,74.75545527925,586.343886468325,214.764807531343,-1.12343515311943e+41,-2.81304977100052e+40
4,63.8375152450646,64.0705038522195,514.036989023554,184.017968075801,-2.57140359896208e+36,-6.29266414289325e+35
5,53.1334795589624,53.3663537519498,441.743894717547,155.501432147273,-5.77386486057007e+31,-1.38932013490165e+31
0.2500001,0.2500001,0.2500001,0.2500001,0.2500001,0.2500001,0.2500001
1,95.8507831534596,96.0839813853816,730.987436129509,327.04972910474,-2.05757582065919e+50,-6.29371724411033e+49
2,85.1924577725828,85.4256012014039,658.66143040374,290.716051347726,-4.83619661205136e+45,-1.45930259634049e+45
3,74.5223799051035,74.75545527925,586.343886468325,253.402306700725,-1.12343515311943e+41,-3.31913458740882e+40
4,63.8375152450646,64.0705038522195,514.036989023554,219.794314543998,-2.57140359896208e+36,-7.51606930782482e+35
5,53.1334795589624,53.3663537519498,441.743894717547,182.613112316593,-5.77386486057007e+31,-1.6315481493329e+31
0.3000001,0.3000001,0.3000001,0.3000001,0.3000001,0.3000001,0.3000001
1,95.8507831534596,96.0839813853816,730.987436129509,379.682710741907,-2.05757582065919e+50,-7.30658187801649e+49
2,85.1924577725828,85.4256012014039,658.66143040374,333.007127463086,-4.83619661205136e+45,-1.67159041770801e+45
3,74.5223799051035,74.75545527925,586.343886468325,293.465047765736,-1.12343515311943e+41,-3.84388762248014e+40
4,63.8375152450646,64.0705038522195,514.036989023554,254.621891977522,-2.57140359896208e+36,-8.70703044054148e+35
5,53.1334795589624,53.3663537519498,441.743894717547,217.90258111664,-5.77386486057007e+31,-1.94684022656249e+31
0.3500001,0.3500001,0.3500001,0.3500001,0.3500001,0.3500001,0.3500001
1,95.8507831534596,96.0839813853816,730.987436129509,436.665579295058,-2.05757582065919e+50,-8.40315536674422e+49
2,85.1924577725828,85.4256012014039,658.66143040374,386.316778130516,-4.83619661205136e+45,-1.93918799709291e+45
3,74.5223799051035,74.75545527925,586.343886468325,339.659853668343,-1.12343515311943e+41,-4.44896016513487e+40
4,63.8375152450646,64.0705038522195,514.036989023554,290.753625902628,-2.57140359896208e+36,-9.94258840734512e+35
5,53.1334795589624,53.3663537519498,441.743894717547,247.462228637201,-5.77386486057007e+31,-2.21093948863241e+31
0.4000001,0.4000001,0.4000001,0.4000001,0.4000001,0.4000001,0.4000001
1,95.8507831534596,96.0839813853816,730.987436129509,485.171665523328,-2.05757582065919e+50,-9.3366023754754e+49
2,85.1924577725828,85.4256012014039,658.66143040374,428.874351142969,-4.83619661205136e+45,-2.15281354856526e+45
3,74.5223799051035,74.75545527925,586.343886468325,383.736799020814,-1.12343515311943e+41,-5.02629237545092e+40
4,63.8375152450646,64.0705038522195,514.036989023554,329.412197531714,-2.57140359896208e+36,-1.12645539200043e+36
5,53.1334795589624,53.3663537519498,441.743894717547,277.661447880236,-5.77386486057007e+31,-2.48075297377717e+31
0.4500001,0.4500001,0.4500001,0.4500001,0.4500001,0.4500001,0.4500001
1,95.8507831534596,96.0839813853816,730.987436129509,527.887473060522,-2.05757582065919e+50,-1.01586217522499e+50
2,85.1924577725828,85.4256012014039,658.66143040374,485.12154556075,-4.83619661205136e+45,-2.43515666814952e+45
3,74.5223799051035,74.75545527925,586.343886468325,422.8694507915,-1.12343515311943e+41,-5.53886283970683e+40
4,63.8375152450646,64.0705038522195,514.036989023554,361.925833018799,-2.57140359896208e+36,-1.23763876736538e+36
5,53.1334795589624,53.3663537519498,441.743894717547,313.371000142113,-5.77386486057007e+31,-2.79979826667687e+31
0.5000001,0.5000001,0.5000001,0.5000001,0.5000001,0.5000001,0.5000001
1,95.8507831534596,96.0839813853816,730.987436129509,591.65079787141,-2.05757582065919e+50,-1.13856777660329e+50
2,85.1924577725828,85.4256012014039,658.66143040374,520.948695794358,-4.83619661205136e+45,-2.61499762675159e+45
3,74.5223799051035,74.75545527925,586.343886468325,466.464581838569,-1.12343515311943e+41,-6.10988411092137e+40
4,63.8375152450646,64.0705038522195,514.036989023554,405.27544398969,-2.57140359896208e+36,-1.38587676032732e+36
5,53.1334795589624,53.3663537519498,441.743894717547,345.298442679572,-5.77386486057007e+31,-3.08505248048499e+31
0.5500001,0.5500001,0.5500001,0.5500001,0.5500001,0.5500001,0.5500001
1,95.8507831534596,96.0839813853816,730.987436129509,634.898804277655,-2.05757582065919e+50,-1.22179387326984e+50
2,85.1924577725828,85.4256012014039,658.66143040374,568.712715409564,-4.83619661205136e+45,-2.85475789287036e+45
3,74.5223799051035,74.75545527925,586.343886468325,502.416651458539,-1.12343515311943e+41,-6.58079441682282e+40
4,63.8375152450646,64.0705038522195,514.036989023554,440.612916694721,-2.57140359896208e+36,-1.50671650750886e+36
5,53.1334795589624,53.3663537519498,441.743894717547,370.156730196631,-5.77386486057007e+31,-3.3071476656529e+31
0.6000001,0.6000001,0.6000001,0.6000001,0.6000001,0.6000001,0.6000001
1,95.8507831534596,96.0839813853816,730.987436129509,683.327814384705,-2.05757582065919e+50,-1.3149902495091e+50
2,85.1924577725828,85.4256012014039,658.66143040374,623.231646030982,-4.83619661205136e+45,-3.12842567501281e+45
3,74.5223799051035,74.75545527925,586.343886468325,540.560968715724,-1.12343515311943e+41,-7.08041939802295e+40
4,63.8375152450646,64.0705038522195,514.036989023554,472.741273403856,-2.57140359896208e+36,-1.61658238655736e+36
5,53.1334795589624,53.3663537519498,441.743894717547,410.289663459459,-5.77386486057007e+31,-3.66571344530375e+31
0.6500001,0.6500001,0.6500001,0.6500001,0.6500001,0.6500001,0.6500001
1,95.8507831534596,96.0839813853816,730.987436129509,755.93014864716,-2.05757582065919e+50,-1.45470556569697e+50
2,85.1924577725828,85.4256012014039,658.66143040374,660.441690672124,-4.83619661205136e+45,-3.31520832599831e+45
3,74.5223799051035,74.75545527925,586.343886468325,595.770981384089,-1.12343515311943e+41,-7.80357565103713e+40
4,63.8375152450646,64.0705038522195,514.036989023554,519.198559229997,-2.57140359896208e+36,-1.77544736031572e+36
5,53.1334795589624,53.3663537519498,441.743894717547,442.180587259163,-5.77386486057007e+31,-3.95064138418975e+31
0.7000001,0.7000001,0.7000001,0.7000001,0.7000001,0.7000001,0.7000001
1,95.8507831534596,96.0839813853816,730.987436129509,784.546098087012,-2.05757582065919e+50,-1.50977385605734e+50
2,85.1924577725828,85.4256012014039,658.66143040374,707.748035376113,-4.83619661205136e+45,-3.55267120886933e+45
3,74.5223799051035,74.75545527925,586.343886468325,626.695383035685,-1.12343515311943e+41,-8.20863214974517e+40
4,63.8375152450646,64.0705038522195,514.036989023554,551.553769286207,-2.57140359896208e+36,-1.88608898530781e+36
5,53.1334795589624,53.3663537519498,441.743894717547,460.221332233986,-5.77386486057007e+31,-4.1118255604127e+31
0.7500001,0.7500001,0.7500001,0.7500001,0.7500001,0.7500001,0.7500001
1,95.8507831534596,96.0839813853816,730.987436129509,841.188947656874,-2.05757582065919e+50,-1.61877687528296e+50
2,85.1924577725828,85.4256012014039,658.66143040374,766.619402034633,-4.83619661205136e+45,-3.84818684282423e+45
3,74.5223799051035,74.75545527925,586.343886468325,670.472893385535,-1.12343515311943e+41,-8.78204227629324e+40
4,63.8375152450646,64.0705038522195,514.036989023554,590.843882177177,-2.57140359896208e+36,-2.02044515016743e+36
5,53.1334795589624,53.3663537519498,441.743894717547,506.72788456274,-5.77386486057007e+31,-4.52733613586516e+31
0.8000001,0.8000001,0.8000001,0.8000001,0.8000001,0.8000001,0.8000001
1,95.8507831534596,96.0839813853816,730.987436129509,899.81904386675,-2.05757582065919e+50,-1.73160413508533e+50
2,85.1924577725828,85.4256012014039,658.66143040374,808.027938520499,-4.83619661205136e+45,-4.0560445944838e+45
3,74.5223799051035,74.75545527925,586.343886468325,712.539239851388,-1.12343515311943e+41,-9.33303909766643e+40
4,63.8375152450646,64.0705038522195,514.036989023554,615.446321668764,-2.57140359896208e+36,-2.10457546115567e+36
5,53.1334795589624,53.3663537519498,441.743894717547,525.236400949741,-5.77386486057007e+31,-4.69269959347797e+31
