"num_round","Leader_P","Follower_P","Leader_Q","Follower_Q","Leader_R","Follower_R"
NA,NA,NA,NA,NA,NA,NA
0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,93.7758450876628,97.5847870626259,91.5601739421104,773.096843043189,-2.5835787003169e+49,-1.48507730492948e+50
2,83.1180047686025,86.9260527751485,82.5193795708258,678.310519790968,-6.07547804620787e+44,-3.39815598665643e+45
3,72.4485288908707,76.255466925914,73.4796323998216,579.713124315898,-1.41216667107344e+40,-7.57639500130905e+40
4,61.764431163946,65.5699542878093,64.4412011952449,492.278505851233,-3.23475408853422e+35,-1.67914853533847e+36
5,51.061405793614,54.8650636027096,55.4044734785747,401.690558560601,-7.27070313203724e+30,-3.57841776143019e+31
0.15,0.15,0.15,0.15,0.15,0.15,0.15
1,94.1804336611201,97.5277531771147,137.285641455749,733.434984808579,-3.8719726444072e+49,-1.40898518623253e+50
2,83.5224991206666,86.8690323909506,123.72446261871,632.601952212827,-9.10437465137094e+44,-3.1694077171056e+45
3,72.8529063595718,76.1984633216839,110.164857641458,548.772340908873,-2.11594736687696e+40,-7.17263052243325e+40
4,62.1686598050438,65.51297209986,96.6072309263191,467.381329685729,-4.84613534028918e+35,-1.59437835332956e+36
5,51.4654385164308,54.8081096936258,83.0521658002818,384.306932064234,-1.08904442085071e+31,-3.42393903111797e+31
0.2,0.2,0.2,0.2,0.2,0.2,0.2
1,94.4674933570692,97.4672606183828,182.995851195728,688.938338545583,-5.15941809249017e+49,-1.32359949871145e+50
2,83.8094918601604,86.8085541484206,164.914291465171,601.570613481542,-1.21308011579639e+45,-3.01417875731942e+45
3,73.1398160234662,76.138002871347,146.834833115776,517.099101417668,-2.81908482941885e+40,-6.75925793359529e+40
4,62.4554636649145,65.452534356821,128.758016540315,436.81635580516,-6.45584169536705e+35,-1.49026407333327e+36
5,51.7521030540261,54.7477019326394,110.684621450275,364.834367957639,-1.45058245838246e+31,-3.25083445180973e+31
0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,94.6901538893475,97.4028626671438,228.694715374897,645.034949002434,-6.44615824638213e+49,-1.23934707194616e+50
2,84.0321003966512,86.7441714332667,206.092777410753,564.403608545359,-1.51553909192252e+45,-2.82819416098002e+45
3,73.3623600381305,76.0736390909952,183.493468991421,478.643476625968,-3.521743989119e+40,-6.25718330919801e+40
4,62.6779254917266,65.3881947410209,160.897466764362,409.552322371917,-8.06430261216471e+35,-1.39740049152524e+36
5,51.9744566328809,54.6833942212887,138.305747257602,336.914812693569,-1.81179623836717e+31,-3.00243640517357e+31
0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,94.8720806179656,97.3340200456736,274.384538233149,594.107322415518,-7.73233634862913e+49,-1.14159054782945e+50
2,84.213984602432,86.6753450944776,247.262224157343,517.976995126403,-1.81785169714466e+45,-2.59578971195749e+45
