"num_round","Leader_P","Follower_P","Leader_Q","Follower_Q","Leader_R","Follower_R"
NA,NA,NA,NA,NA,NA,NA
1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07
1,95.8507831534596,110.631807142626,730.987436129509,167.451817131791,-2.05757582065919e+50,-1.03560147154342e+48
2,85.1924577725828,99.9698884945064,658.66143040374,148.782945652185,-4.83619661205136e+45,-2.39549120804811e+43
3,74.5223799051035,89.2953308554752,586.343886468325,126.27166980555,-1.12343515311943e+41,-5.29216803893115e+38
4,63.8375152450646,78.6047260921482,514.036989023554,107.433743474944,-2.57140359896208e+36,-1.17187788761048e+34
5,53.1334795589624,67.8930718164633,441.743894717547,88.7033957944854,-5.77386486057007e+31,-2.51762819422511e+29
1.0000001,1.0000001,1.0000001,1.0000001,1.0000001,1.0000001,1.0000001
1,95.8507831534596,109.82362195261,730.987436129509,168.37082415021,-2.05757582065919e+50,-1.26044257650535e+48
2,85.1924577725828,99.1619062609813,658.66143040374,147.56447233499,-4.83619661205136e+45,-2.87624443026047e+43
3,74.5223799051035,88.4876026086172,586.343886468325,127.722786512209,-1.12343515311943e+41,-6.48127064375566e+38
4,63.8375152450646,77.7973248473436,514.036989023554,106.048354412816,-2.57140359896208e+36,-1.40084127543554e+34
5,53.1334795589624,67.0861073031049,441.743894717547,88.0608043987594,-5.77386486057007e+31,-3.02749433812646e+29
2.0000001,2.0000001,2.0000001,2.0000001,2.0000001,2.0000001,2.0000001
1,95.8507831534596,109.015433482369,730.987436129509,170.387988970376,-2.05757582065919e+50,-1.54400070414253e+48
2,85.1924577725828,98.3539199743629,658.66143040374,148.491257766448,-4.83619661205136e+45,-3.50385404847361e+43
3,74.5223799051035,87.6798692269847,586.343886468325,127.298700549886,-1.12343515311943e+41,-7.82128339123081e+38
4,63.8375152450646,76.9899168880396,514.036989023554,106.442937326724,-2.57140359896208e+36,-1.70271847782719e+34
5,53.1334795589624,66.2791336377155,441.743894717547,88.9073428280159,-5.77386486057007e+31,-3.70240966868512e+29
3.0000001,3.0000001,3.0000001,3.0000001,3.0000001,3.0000001,3.0000001
1,95.8507831534596,108.207241743728,730.987436129509,171.204569491722,-2.05757582065919e+50,-1.87791106258447e+48
2,85.1924577725828,97.5459296508816,658.66143040374,147.774762814379,-4.83619661205136e+45,-4.22128939222748e+43
3,74.5223799051035,86.8721307337054,586.343886468325,126.900280666363,-1.12343515311943e+41,-9.44011168712639e+38
4,63.8375152450646,76.1825022487889,514.036989023554,106.246996773516,-2.57140359896208e+36,-2.05817043463208e+34
5,53.1334795589624,65.4721508752138,441.743894717547,89.5430701766698,-5.77386486057007e+31,-4.51670574791509e+29
4.0000001,4.0000001,4.0000001,4.0000001,4.0000001,4.0000001,4.0000001
1,95.8507831534596,107.399046748446,730.987436129509,169.95654114333,-2.05757582065919e+50,-2.25656355733305e+48
2,85.1924577725828,96.7379353066701,658.66143040374,148.860623081599,-4.83619661205136e+45,-5.14781607541785e+43
3,74.5223799051035,86.0643871517505,586.343886468325,125.752935715742,-1.12343515311943e+41,-1.13263873097231e+39
4,63.8375152450646,75.3750809638778,514.036989023554,107.807055358082,-2.57140359896208e+36,-2.52899642315507e+34
5,53.1334795589624,64.665159070026,441.743894717547,88.7142871291161,-5.77386486057007e+31,-5.42029856917444e+29
5.0000001,5.0000001,5.0000001,5.0000001,5.0000001,5.0000001,5.0000001
1,95.8507831534596,106.590848508218,730.987436129509,170.509073586554,-2.05757582065919e+50,-2.74035021942075e+48
2,85.1924577725828,95.9299369577649,658.66143040374,149.249256378773,-4.83619661205136e+45,-6.24816234823409e+43
3,74.5223799051035,85.2566385039371,586.343886468325,127.730753274865,-1.12343515311943e+41,-1.39291851798403e+39
4,63.8375152450646,74.56765306733,514.036989023554,108.613182921276,-2.57140359896208e+36,-3.08544372209491e+34
5,53.1334795589624,63.8581582760921,441.743894717547,88.3441954239638,-5.77386486057007e+31,-6.53799159502745e+29
6.0000001,6.0000001,6.0000001,6.0000001,6.0000001,6.0000001,6.0000001
1,95.8507831534596,105.782647034679,730.987436129509,171.618469274177,-2.05757582065919e+50,-3.33864592496239e+48
2,85.1924577725828,95.1219346201068,658.66143040374,149.483813021406,-4.83619661205136e+45,-7.57582352822505e+43
3,74.5223799051035,84.4488848129296,586.343886468325,126.059318094522,-1.12343515311943e+41,-1.66441032362589e+39
4,63.8375152450646,73.7602185929085,514.036989023554,107.023372399876,-2.57140359896208e+36,-3.68167534576576e+34
5,53.1334795589624,63.0511485468716,441.743894717547,88.8038056561373,-5.77386486057007e+31,-7.96033789330865e+29
7.0000001,7.0000001,7.0000001,7.0000001,7.0000001,7.0000001,7.0000001
1,95.8507831534596,104.974442339399,730.987436129509,171.812075908813,-2.05757582065919e+50,-4.04582103940054e+48
2,85.1924577725828,94.3139283095418,658.66143040374,147.346414830252,-4.83619661205136e+45,-9.04002075255584e+43
3,74.5223799051035,83.6411261012404,586.343886468325,127.164580795848,-1.12343515311943e+41,-2.03284878551734e+39
4,63.8375152450646,72.9527775741191,514.036989023554,108.178838377735,-2.57140359896208e+36,-4.50649262999518e+34
5,53.1334795589624,62.2441299353487,441.743894717547,89.6456976141619,-5.77386486057007e+31,-9.73329475543715e+29
8.0000001,8.0000001,8.0000001,8.0000001,8.0000001,8.0000001,8.0000001
1,95.8507831534596,104.166234433887,730.987436129509,171.556662378961,-2.05757582065919e+50,-4.88996894183899e+48
2,85.1924577725828,93.5059180418214,658.66143040374,147.419699526184,-4.83619661205136e+45,-1.09490937139819e+44
3,74.5223799051035,82.8333623912319,586.343886468325,127.685631203322,-1.12343515311943e+41,-2.47134094922961e+39
4,63.8375152450646,72.1453300442122,514.036989023554,107.882153990939,-2.57140359896208e+36,-5.44218364399326e+34
5,53.1334795589624,61.4371024940388,441.743894717547,88.3056789333704,-5.77386486057007e+31,-1.1613055204728e+30
9.0000001,9.0000001,9.0000001,9.0000001,9.0000001,9.0000001,9.0000001
1,95.8507831534596,103.35802332959,730.987436129509,172.143659972616,-2.05757582065919e+50,-5.93928222505334e+48
2,85.1924577725828,92.697903832604,658.66143040374,148.677856601536,-4.83619661205136e+45,-1.3367813294326e+44
3,74.5223799051035,82.0255937051173,586.343886468325,127.910412166718,-1.12343515311943e+41,-2.99741264604989e+39
4,63.8375152450646,71.3378760361857,514.036989023554,108.175718511613,-2.57140359896208e+36,-6.60812661534533e+34
5,53.1334795589624,60.6300662749931,441.743894717547,90.0590750069803,-5.77386486057007e+31,-1.43453029675994e+30
10.0000001,10.0000001,10.0000001,10.0000001,10.0000001,10.0000001,10.0000001
1,95.8507831534596,102.549809037896,730.987436129509,170.957694963416,-2.05757582065919e+50,-7.13961668509217e+48
2,85.1924577725828,91.8898856974554,658.66143040374,148.424338545504,-4.83619661205136e+45,-1.61550857619052e+44
3,74.5223799051035,81.2178200649625,586.343886468325,127.346046543841,-1.12343515311943e+41,-3.61305343105223e+39
4,63.8375152450646,70.5304155827877,514.036989023554,109.078603608872,-2.57140359896208e+36,-8.06883592717469e+34
5,53.1334795589624,59.8230213298046,441.743894717547,88.8967586624897,-5.77386486057007e+31,-1.71510032508426e+30
11.0000001,11.0000001,11.0000001,11.0000001,11.0000001,11.0000001,11.0000001
1,95.8507831534596,101.741591570129,730.987436129509,169.206977559034,-2.05757582065919e+50,-8.55355633872985e+48
2,85.1924577725828,91.081863651849,658.66143040374,150.252214846867,-4.83619661205136e+45,-1.97976543692228e+44
3,74.5223799051035,80.4100414926868,586.343886468325,127.82409203359,-1.12343515311943e+41,-4.39084598518614e+39
4,63.8375152450646,69.7229487165186,514.036989023554,108.03611636027,-2.57140359896208e+36,-9.67744704908236e+34
5,53.1334795589624,59.0159677096135,441.743894717547,90.1244866022475,-5.77386486057007e+31,-2.10603101039331e+30
12.0000001,12.0000001,12.0000001,12.0000001,12.0000001,12.0000001,12.0000001
1,95.8507831534596,100.933370937555,730.987436129509,171.051360998535,-2.05757582065919e+50,-1.04663703708858e+49
2,85.1924577725828,90.2738377111674,658.66143040374,149.977666107536,-4.83619661205136e+45,-2.39225133625084e+44
3,74.5223799051035,79.6022580100646,586.343886468325,126.978593647905,-1.12343515311943e+41,-5.28093556670567e+39
4,63.8375152450646,68.9154754696342,514.036989023554,109.045462853511,-2.57140359896208e+36,-1.18281753619309e+35
5,53.1334795589624,58.2089054651118,441.743894717547,90.6588324106723,-5.77386486057007e+31,-2.56594562306795e+30
13.0000001,13.0000001,13.0000001,13.0000001,13.0000001,13.0000001,13.0000001
1,95.8507831534596,100.12514715138,730.987436129509,170.257975193899,-2.05757582065919e+50,-1.26100569737481e+49
2,85.1924577725828,89.4658078907025,658.66143040374,148.481429764594,-4.83619661205136e+45,-2.8670704915447e+44
3,74.5223799051035,78.7944696387267,586.343886468325,129.085554432948,-1.12343515311943e+41,-6.49981769375785e+39
4,63.8375152450646,68.1079958741475,514.036989023554,109.412231433772,-2.57140359896208e+36,-1.4371170668853e+35
5,53.1334795589624,57.4018346465496,441.743894717547,90.6767496466326,-5.77386486057007e+31,-3.10846280374761e+30
14.0000001,14.0000001,14.0000001,14.0000001,14.0000001,14.0000001,14.0000001
1,95.8507831534596,99.3169202227505,730.987436129509,170.772210477457,-2.05757582065919e+50,-1.53096659849941e+49
2,85.1924577725828,88.6577742056564,658.66143040374,150.703335138221,-4.83619661205136e+45,-3.52268468027884e+44
3,74.5223799051035,77.9866764001611,586.343886468325,127.07197482687,-1.12343515311943e+41,-7.74666546310131e+39
4,63.8375152450646,67.3005099618318,514.036989023554,109.375351942144,-2.57140359896208e+36,-1.7396411305867e+35
5,53.1334795589624,56.5947553037393,441.743894717547,90.5890130369455,-5.77386486057007e+31,-3.76127178573368e+30
15.0000001,15.0000001,15.0000001,15.0000001,15.0000001,15.0000001,15.0000001
1,95.8507831534596,98.5086901627536,730.987436129509,172.804029056672,-2.05757582065919e+50,-1.87516818896091e+49
2,85.1924577725828,87.8497366711421,658.66143040374,147.86360507267,-4.83619661205136e+45,-4.18403725158767e+44
3,74.5223799051035,77.1788783157148,586.343886468325,127.982869235456,-1.12343515311943e+41,-9.44619005439685e+39
4,63.8375152450646,66.493017764222,514.036989023554,108.352346654119,-2.57140359896208e+36,-2.08684544103336e+35
5,53.1334795589624,55.7876674860608,441.743894717547,90.985495802589,-5.77386486057007e+31,-4.57549289322352e+30
16.0000001,16.0000001,16.0000001,16.0000001,16.0000001,16.0000001,16.0000001
1,95.8507831534596,97.7004569824181,730.987436129509,172.428080780003,-2.05757582065919e+50,-2.26480661157006e+49
2,85.1924577725828,87.0416953021844,658.66143040374,149.104184903498,-4.83619661205136e+45,-5.1074732820969e+44
3,74.5223799051035,76.3710754065949,586.343886468325,127.271278026077,-1.12343515311943e+41,-1.13729567857461e+40
4,63.8375152450646,65.6855193126187,514.036989023554,107.742718396797,-2.57140359896208e+36,-2.51275121491217e+35
5,53.1334795589624,54.9805712424672,441.743894717547,89.4084533789366,-5.77386486057007e+31,-5.44562743039697e+30
17.0000001,17.0000001,17.0000001,17.0000001,17.0000001,17.0000001,17.0000001
1,95.8507831534596,96.8922206927152,730.987436129509,171.735640825628,-2.05757582065919e+50,-2.7303558740543e+49
2,85.1924577725828,86.23365011372,658.66143040374,148.777649905493,-4.83619661205136e+45,-6.16928257529307e+44
3,74.5223799051035,75.5632676938692,586.343886468325,129.080061582118,-1.12343515311943e+41,-1.39649258827439e+40
4,63.8375152450646,64.8780146380885,514.036989023554,108.775364000949,-2.57140359896208e+36,-3.07184684985938e+35
5,53.1334795589624,54.1734666214886,441.743894717547,90.2604012245206,-5.77386486057007e+31,-6.65836100530603e+30
18.0000001,18.0000001,18.0000001,18.0000001,18.0000001,18.0000001,18.0000001
1,95.8507831534596,96.0839813045575,730.987436129509,170.874544485509,-2.05757582065919e+50,-3.28829530202846e+49
2,85.1924577725828,85.4256011205988,658.66143040374,148.195933366446,-4.83619661205136e+45,-7.43896711097348e+44
3,74.5223799051035,74.7554551984685,586.343886468325,127.632099208388,-1.12343515311943e+41,-1.67176111599452e+40
4,63.8375152450646,64.0705037714679,514.036989023554,110.19479142566,-2.57140359896208e+36,-3.76821260041855e+35
5,53.1334795589624,53.3663536712381,441.743894717547,90.4539327359111,-5.77386486057007e+31,-8.08156366813568e+30
19.0000001,19.0000001,19.0000001,19.0000001,19.0000001,19.0000001,19.0000001
1,95.8507831534596,95.275738828801,730.987436129509,171.764736918137,-2.05757582065919e+50,-4.00093047262399e+49
2,85.1924577725828,84.6175483375844,658.66143040374,149.272038746174,-4.83619661205136e+45,-9.07053475184098e+44
3,74.5223799051035,73.947637941187,586.343886468325,128.745697011849,-1.12343515311943e+41,-2.04164497112693e+40
4,63.8375152450646,63.2629867433652,514.036989023554,109.996913733068,-2.57140359896208e+36,-4.55468159834894e+35
5,53.1334795589624,52.5592324394155,441.743894717547,91.223391762058,-5.77386486057007e+31,-9.87118239713158e+30
20.0000001,20.0000001,20.0000001,20.0000001,20.0000001,20.0000001,20.0000001
1,95.8507831534596,94.4674932762445,730.987436129509,170.625652024427,-2.05757582065919e+50,-4.81065055385741e+49
2,85.1924577725828,83.8094917793545,658.66143040374,150.298478835602,-4.83619661205136e+45,-1.10556882592488e+45
3,74.5223799051035,73.1398159426837,586.343886468325,130.263657694023,-1.12343515311943e+41,-2.5009345565915e+40
