"num_round","Leader_P","Follower_P","Leader_Q","Follower_Q","Leader_R","Follower_R"
NA,NA,NA,NA,NA,NA,NA
1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07
1,112.014987857408,96.0839813853816,719.349208742666,170.420192751573,-4.44110621837192e+48,-3.27955173300781e+49
2,101.352720048364,85.4256012014039,647.026041565178,148.792460181019,-1.03974558833476e+44,-7.46891072754481e+44
3,90.6777251877893,74.75545527925,574.712037864792,129.062932560337,-2.40345349914121e+39,-1.69050254116017e+40
4,79.9865570701547,64.0705038522195,502.409678909489,109.708421746324,-5.46663912673608e+34,-3.7515806685363e+35
5,69.2741496246575,53.3663537519498,430.122612270247,90.711101889024,-1.21725330940953e+30,-8.10454016874765e+30
1.0000001,1.0000001,1.0000001,1.0000001,1.0000001,1.0000001,1.0000001
1,111.20680830903,96.0839813853816,719.931098017499,172.761027812704,-5.38019137614601e+48,-3.32459856435723e+49
2,100.544744789545,85.4256012014039,647.607783751528,149.368125099216,-1.25986024457439e+44,-7.49780728505696e+44
3,89.8700057830809,74.75545527925,575.293595836182,127.792258186658,-2.91301100631302e+39,-1.67385889131371e+40
4,79.1791673979888,64.0705038522195,502.990999473448,110.313560187607,-6.62780935910533e+34,-3.77227393567085e+35
5,68.4672009036282,53.3663537519498,430.703615349388,89.84259837564,-1.47646130381188e+30,-8.02694413624073e+30
2.0000001,2.0000001,2.0000001,2.0000001,2.0000001,2.0000001,2.0000001
1,110.398625460043,96.0839813853816,720.512989668769,173.161336215224,-6.51782737900688e+48,-3.3323020652982e+49
2,99.7367654496278,85.4256012014039,648.189528876268,150.98337452346,-1.52656705252261e+44,-7.57888769556781e+44
3,89.0622812036509,74.75545527925,575.875157533371,128.003116526747,-3.53058181290265e+39,-1.67662077307693e+40
4,78.3717709515636,64.0705038522195,503.572324914874,109.202911378609,-8.03556962597305e+34,-3.73429427526695e+35
5,67.6602429354169,53.3663537519498,431.2846250865,91.1034968713774,-1.79084978172789e+30,-8.13959851144521e+30
3.0000001,3.0000001,3.0000001,3.0000001,3.0000001,3.0000001,3.0000001
1,109.590439322381,96.0839813853816,721.094883687886,172.173501679696,-7.89598939201061e+48,-3.31329226129194e+49
2,98.9287820450105,85.4256012014039,648.771276927592,148.256568188673,-1.84972698638419e+44,-7.44201064507039e+44
3,88.2545514728968,74.75545527925,576.456722939514,129.111537586006,-4.27905823199907e+39,-1.69113918343829e+40
4,77.5643677658928,64.0705038522195,504.153655208557,109.500204369365,-9.7422753976736e+34,-3.74446048328689e+35
5,66.8532757757986,53.3663537519498,431.865641441425,90.4910400047691,-2.17216221950032e+30,-8.08487884457218e+30
4.0000001,4.0000001,4.0000001,4.0000001,4.0000001,4.0000001,4.0000001
1,108.782249907913,96.0839813853816,721.676780066303,170.93853924253,-9.56552552803108e+48,-3.2895267489098e+49
2,98.1207945919928,85.4256012014039,649.353027893765,149.592870421599,-2.24128777505772e+44,-7.50908878915512e+44
3,87.4468166140571,74.75545527925,577.038292037879,128.313822196812,-5.186183588546e+39,-1.68069048321273e+40
4,76.7569578757194,64.0705038522195,504.734990329482,109.6255393238,-1.18113958321262e+35,-3.74874642765349e+35
5,66.0462994800455,53.3663537519498,432.446664374367,90.2286309115694,-2.63464063219609e+30,-8.06143402919464e+30
5.0000001,5.0000001,5.0000001,5.0000001,5.0000001,5.0000001,5.0000001
1,107.974057228443,96.0839813853816,722.258678795521,169.886709936375,-1.15880322705634e+49,-3.26928543496609e+49
2,97.3128031067768,85.4256012014039,649.934781763121,148.377171945503,-2.71572544078828e+44,-7.44806457207768e+44
3,86.6390766502142,74.75545527925,577.619864811846,128.415943877016,-6.285580015387e+39,-1.68202810166342e+40
4,75.9495413155188,64.0705038522195,505.316330252826,110.154956556684,-1.43198724407103e+35,-3.76685033822719e+35
5,65.2393141029337,53.3663537519498,433.027693845888,90.3793418616291,-3.19555701782838e+30,-8.07489922720451e+30
6.0000001,6.0000001,6.0000001,6.0000001,6.0000001,6.0000001,6.0000001
1,107.165861295714,96.0839813853816,722.840579867086,171.442584680296,-1.40381262540086e+49,-3.29922655655729e+49
2,96.5048076054674,85.4256012014039,650.516538524063,150.195552471107,-3.29057925203925e+44,-7.53934152117791e+44
3,85.8313316042948,74.75545527925,578.201441244908,128.055360438783,-7.61799397774976e+39,-1.67730507851076e+40
4,75.1421181195013,64.0705038522195,505.897674953959,109.872599455918,-1.7360978237026e+35,-3.75719487674122e+35
5,64.4323196987486,53.3663537519498,433.608729816901,91.033181948099,-3.87585781115544e+30,-8.13331625813437e+30
7.0000001,7.0000001,7.0000001,7.0000001,7.0000001,7.0000001,7.0000001
1,106.357662121402,96.0839813853816,723.42248327259,169.954253408254,-1.70061961606559e+49,-3.2705852358094e+49
2,95.6968081040734,85.4256012014039,651.098298165067,151.034579352234,-3.9870998514237e+44,-7.58145801596217e+44
3,85.023581499072,74.75545527925,578.783021320668,129.256392819545,-9.23280564290593e+39,-1.69303653797333e+40
4,74.3346883216153,64.0705038522195,506.479024408437,108.676691838568,-2.1047783545159e+35,-3.71629971274933e+35
5,63.6253163212908,53.3663537519498,434.189772248671,90.3793418616291,-4.70094537200594e+30,-8.07489922720451e+30
8.0000001,8.0000001,8.0000001,8.0000001,8.0000001,8.0000001,8.0000001
1,105.549459717124,96.0839813853816,724.004389003671,170.485796011771,-2.06017361920076e+49,-3.2808141965821e+49
2,94.8888046185082,85.4256012014039,651.680060674674,148.556436938447,-4.83103449925039e+44,-7.45706310753604e+44
3,84.2158263571659,74.75545527925,579.364605022841,128.26249324134,-1.11898579782521e+40,-1.68001816213697e+40
4,73.5272519555493,64.0705038522195,507.060378592005,109.667047375842,-2.55173571650762e+35,-3.75016583377699e+35
5,62.8183040238822,53.3663537519498,434.770821102805,89.4425761461193,-5.70162563932794e+30,-7.99120434077987e+30
9.0000001,9.0000001,9.0000001,9.0000001,9.0000001,9.0000001,9.0000001
1,104.741254094431,96.0839813853816,724.58629705201,173.161336215224,-2.49573840100034e+49,-3.3323020652982e+49
2,94.0807971645904,85.4256012014039,652.261826041495,150.724933749831,-5.85357843692648e+44,-7.56591478642816e+44
3,83.4080662010455,74.75545527925,579.946192335247,127.898066601593,-1.35616732955732e+40,-1.67524479965142e+40
4,72.719809054735,64.0705038522195,507.641737480591,108.631851545467,-3.09358588898537e+35,-3.7147663575694e+35
5,62.0112828593713,53.3663537519498,435.351876341253,91.1034968713774,-6.91525727344126e+30,-8.13959851144521e+30
10.0000001,10.0000001,10.0000001,10.0000001,10.0000001,10.0000001,10.0000001
1,103.933045264816,96.0839813853816,725.168207409332,172.113696427164,-3.02338120108734e+49,-3.31214137408534e+49
2,93.2727857580447,85.4256012014039,652.843594254208,150.141665879037,-7.09252750906482e+44,-7.53663658475107e+44
3,82.6003010530302,74.75545527925,580.527783241818,129.682560545614,-1.64361392996551e+40,-1.69861860254902e+40
4,71.9123596523496,64.0705038522195,508.223101050308,110.074914360488,-3.75047124551592e+35,-3.76411322150326e+35
5,61.2042528801387,53.3663537519498,435.9329379263,91.414486609235,-8.38714511577146e+30,-8.16738374136799e+30
11.0000001,11.0000001,11.0000001,11.0000001,11.0000001,11.0000001,11.0000001
1,103.124833239708,96.0839813853816,725.75012006741,173.161336215224,-3.66256522478509e+49,-3.3323020652982e+49
2,92.4647704145025,85.4256012014039,653.425365301558,150.776947502986,-8.59367461507582e+44,-7.56852571226703e+44
3,81.7925309352904,74.75545527925,581.109377726591,130.005662807513,-1.99197640762113e+40,-1.70285068672656e+40
4,71.1049037813189,64.0705038522195,508.80446927745,108.76590560634,-4.54680881032874e+35,-3.71935045982246e+35
5,60.397214138103,53.3663537519498,436.514005820566,90.1524967778601,-1.01722298971401e+31,-8.05463186130107e+30
12.0000001,12.0000001,12.0000001,12.0000001,12.0000001,12.0000001,12.0000001
1,102.316618030476,96.0839813853816,726.332035018057,173.274117365533,-4.43686734176505e+49,-3.33447241618783e+49
2,91.6567511495029,85.4256012014039,654.007139172358,150.409352088845,-1.04125015647068e+45,-7.55007358553472e+44
3,80.9847558698496,74.75545527925,581.690975773708,129.729156457065,-2.41416205101266e+40,-1.69922892888482e+40
4,70.2974414743192,64.0705038522195,509.38584213849,109.02988881804,-5.51219725494855e+35,-3.72837760922513e+35
5,59.5901666847261,53.3663537519498,437.095079986997,91.3461309380041,-1.23371371612514e+31,-8.16127653649762e+30
13.0000001,13.0000001,13.0000001,13.0000001,13.0000001,13.0000001,13.0000001
1,101.508399648428,96.0839813853816,726.913952253132,172.173501679696,-5.37484744733365e+49,-3.31329226129194e+49
2,90.8487279784933,85.4256012014039,654.588915855485,150.620410610264,-1.26162288196593e+45,-7.56066805552904e+44
3,80.1769758785853,74.75545527925,582.272577367419,127.950685695129,-2.92581261391646e+40,-1.67593401931791e+40
4,69.4899727637801,64.0705038522195,509.967219610078,109.202911378609,-6.68251630503619e+35,-3.73429427526695e+35
5,58.7831105710183,53.3663537519498,437.676160388867,90.3418565772844,-1.49626617501794e+31,-8.07155012233882e+30
14.0000001,14.0000001,14.0000001,14.0000001,14.0000001,14.0000001,14.0000001
1,100.700178104812,96.0839813853816,727.495871764535,169.954253408254,-6.5111015323446e+49,-3.2705852358094e+49
2,90.0407009168298,85.4256012014039,655.170695339883,148.437144103553,-1.52862988177922e+45,-7.45107498466225e+44
3,79.3691909832303,74.75545527925,582.854182492074,128.866884127324,-3.54588353643771e+40,-1.68793464371956e+40
4,68.6824976818871,64.0705038522195,510.548601669041,108.081193067941,-8.10125936777017e+35,-3.6959360830438e+35
5,57.9760458475435,53.3663537519498,438.257246989769,89.5237486120801,-1.81467804213446e+31,-7.99845665606738e+30
15.0000001,15.0000001,15.0000001,15.0000001,15.0000001,15.0000001,15.0000001
1,99.8919534108177,96.0839813853816,728.077793544211,171.811698008677,-7.88753727832267e+49,-3.30632974213773e+49
2,89.2326699797782,85.4256012014039,655.75247761456,151.338508092634,-1.85213845851412e+45,-7.59671427711158e+44
3,78.5614012053738,74.75545527925,583.435791132131,130.321794674358,-4.29734583999626e+40,-1.70699147071188e+40
4,67.8750162605836,64.0705038522195,511.12998829238,110.274092473214,-9.82114884443609e+35,-3.77092430077507e+35
5,57.1689725644249,53.3663537519498,438.838339753614,91.3803616805704,-2.20083048345069e+31,-8.16433486587911e+30
16.0000001,16.0000001,16.0000001,16.0000001,16.0000001,16.0000001,16.0000001
1,99.0837255775734,96.0839813853816,728.659717584147,172.645024322464,-9.55491919535868e+49,-3.32236620303133e+49
2,88.4246351825153,85.4256012014039,656.334262668589,150.195552471107,-2.24410347350121e+45,-7.53934152117791e+44
3,77.7536065664634,74.75545527925,584.017403272146,130.051244187356,-5.20803667379913e+40,-1.70344772444239e+40
4,67.067528531574,64.0705038522195,511.711379457267,109.458152839409,-1.19060940821939e+36,-3.74302249243485e+35
5,56.3618907713498,53.3663537519498,439.419438644628,91.1034968713774,-2.66913109946065e+31,-8.13959851144521e+30
17.0000001,17.0000001,17.0000001,17.0000001,17.0000001,17.0000001,17.0000001
1,98.2754946161499,96.0839813853816,729.241643876372,170.35435308272,-1.15747402537726e+50,-3.27828472000541e+49
2,87.6165965401281,85.4256012014039,656.916050491108,150.087602319187,-2.71900894483332e+45,-7.53392276510163e+44
3,76.9458070878052,74.75545527925,584.59901889678,127.845257889292,-6.31168999057594e+40,-1.67455309630508e+40
4,66.2600345263254,64.0705038522195,512.292775141046,109.790772867618,-1.4433564632146e+36,-3.7543967410835e+35
5,55.5548005175743,53.3663537519498,440.000543627347,90.711101889024,-3.23705101492234e+31,-8.10454016874765e+30
18.0000001,18.0000001,18.0000001,18.0000001,18.0000001,18.0000001,18.0000001
1,97.4672605375592,96.0839813853816,729.823572412957,169.954253408254,-1.40214889924722e+50,-3.2705852358094e+49
2,86.8085540676161,85.4256012014039,657.497841071316,148.256568188673,-3.29440304927389e+45,-7.44201064507039e+44
3,76.1380027905663,74.75545527925,585.180637990792,129.447332352117,-7.64918549405396e+40,-1.69553751760101e+40
4,65.4525342760706,64.0705038522195,512.874175321229,107.892267149399,-1.74974668894671e+36,-3.68947558700798e+35
5,54.7477018519291,53.3663537519498,440.581654666611,90.0758339306539,-3.92577611939995e+31,-8.04778245575209e+30
19.0000001,19.0000001,19.0000001,19.0000001,19.0000001,19.0000001,19.0000001
1,96.6590233527556,96.0839813853816,730.405503186016,172.113696427164,-1.69853956605842e+50,-3.31214137408534e+49
2,86.000507779891,85.4256012014039,658.079634398478,148.850941021128,-3.99154628193122e+45,-7.47184628068718e+44
3,75.3301936957748,74.75545527925,585.762260539042,129.256392819545,-9.27006207616213e+40,-1.69303653797333e+40
4,64.6450278118097,64.0705038522195,513.455579975497,110.194791413192,-2.12116308665417e+36,-3.76821252788621e+35
5,53.9405948228234,53.3663537519498,441.162771727567,90.3418565772844,-4.76099671393783e+31,-8.07155012233882e+30
20.0000001,20.0000001,20.0000001,20.0000001,20.0000001,20.0000001,20.0000001
1,95.8507830726354,96.0839813853816,730.987436187703,173.441994396578,-2.05757586011482e+50,-3.33770302753268e+49
2,85.1924576917775,85.4256012014039,658.66143046192,150.98337452346,-4.83619670488091e+45,-7.57888769556781e+44
3,74.5223798243218,74.75545527925,586.343886526488,127.950685695129,-1.12343517470989e+41,-1.67593401931791e+40
