num_round,Leader_P,Follower_P,Leader_Q,Follower_Q,Leader_R,Follower_R
NA,NA,NA,NA,NA,NA,NA
1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
1,95.85078315,96.08398139,730.9874361,287.9803184,-2.06E+50,-5.54E+49
2,85.19245777,85.4256012,658.6614304,258.465973,-4.84E+45,-1.30E+45
3,74.52237991,74.75545528,586.3438865,230.0314646,-1.12E+41,-3.01E+40
4,63.83751525,64.07050385,514.036989,202.2460797,-2.57E+36,-6.92E+35
5,53.13347956,53.36635375,441.7438947,172.598743,-5.77E+31,-1.54E+31
0.0500001,0.0500001,0.0500001,0.0500001,0.0500001,0.0500001,0.0500001
1,95.85078315,96.08398139,730.9874361,258.8562794,-2.06E+50,-4.98E+49
2,85.19245777,85.4256012,658.6614304,231.4674642,-4.84E+45,-1.16E+45
3,74.52237991,74.75545528,586.3438865,205.9784626,-1.12E+41,-2.70E+40
4,63.83751525,64.07050385,514.036989,177.4534938,-2.57E+36,-6.07E+35
5,53.13347956,53.36635375,441.7438947,153.5111019,-5.77E+31,-1.37E+31
0.1000001,0.1000001,0.1000001,0.1000001,0.1000001,0.1000001,0.1000001
1,95.85078315,96.08398139,730.9874361,229.4244791,-2.06E+50,-4.42E+49
2,85.19245777,85.4256012,658.6614304,205.0505987,-4.84E+45,-1.03E+45
3,74.52237991,74.75545528,586.3438865,180.2401962,-1.12E+41,-2.36E+40
4,63.83751525,64.07050385,514.036989,154.5155659,-2.57E+36,-5.28E+35
5,53.13347956,53.36635375,441.7438947,131.5119616,-5.77E+31,-1.17E+31
0.1500001,0.1500001,0.1500001,0.1500001,0.1500001,0.1500001,0.1500001
1,95.85078315,96.08398139,730.9874361,199.7782722,-2.06E+50,-3.84E+49
2,85.19245777,85.4256012,658.6614304,177.3583578,-4.84E+45,-8.90E+44
3,74.52237991,74.75545528,586.3438865,154.3903301,-1.12E+41,-2.02E+40
4,63.83751525,64.07050385,514.036989,131.9785735,-2.57E+36,-4.51E+35
5,53.13347956,53.36635375,441.7438947,111.3004634,-5.77E+31,-9.94E+30
0.2000001,0.2000001,0.2000001,0.2000001,0.2000001,0.2000001,0.2000001
1,95.85078315,96.08398139,730.9874361,173.4419368,-2.06E+50,-3.34E+49
2,85.19245777,85.4256012,658.6614304,149.9242838,-4.84E+45,-7.53E+44
3,74.52237991,74.75545528,586.3438865,128.5677538,-1.12E+41,-1.68E+40
4,63.83751525,64.07050385,514.036989,108.4963376,-2.57E+36,-3.71E+35
5,53.13347956,53.36635375,441.7438947,90.34181518,-5.77E+31,-8.07E+30
0.2500001,0.2500001,0.2500001,0.2500001,0.2500001,0.2500001,0.2500001
1,95.85078315,96.08398139,730.9874361,143.6347074,-2.06E+50,-2.76E+49
2,85.19245777,85.4256012,658.6614304,122.2616858,-4.84E+45,-6.14E+44
3,74.52237991,74.75545528,586.3438865,104.2157874,-1.12E+41,-1.37E+40
4,63.83751525,64.07050385,514.036989,87.18939826,-2.57E+36,-2.98E+35
5,53.13347956,53.36635375,441.7438947,70.22793565,-5.77E+31,-6.27E+30
0.3000001,0.3000001,0.3000001,0.3000001,0.3000001,0.3000001,0.3000001
1,95.85078315,96.08398139,730.9874361,112.6698619,-2.06E+50,-2.17E+49
2,85.19245777,85.4256012,658.6614304,95.97702575,-4.84E+45,-4.82E+44
