"num_round","Leader_P","Follower_P","Leader_Q","Follower_Q","Leader_R","Follower_R"
NA,NA,NA,NA,NA,NA,NA
1600,1600,1600,1600,1600,1600,1600
1,149.026383021648,149.259747579149,1092.70100422441,256.574054582532,-2.55402675449571e+73,-4.10037512615747e+72
2,138.402911818428,138.636252439503,1020.34990349073,234.385775298216,-6.21599304907225e+68,-9.76278509980855e+67
3,127.774498115537,128.007811190255,948.002361356813,207.891434597146,-1.50539024549149e+64,-2.25710023837284e+63
4,117.140366415103,117.373647450893,875.658936181126,188.010814880644,-3.62496969566202e+59,-5.32131824752847e+58
5,106.499543185585,106.732786494139,803.320328906379,163.047984832524,-8.67068819220921e+54,-1.20320147501294e+54
1550,1550,1550,1550,1550,1550,1550
1,143.715223006487,143.948576001185,1056.52503943533,246.70972909726,-1.26071800501026e+71,-2.01283628238782e+70
2,133.089367285373,133.322694633669,984.175655554531,225.54245219877,-3.06102904230244e+66,-4.79624187262909e+65
3,122.458202496584,122.691500179369,911.830094202459,200.953754130601,-7.39283896278775e+61,-1.11394662970673e+61
4,111.820861626677,112.054124600485,839.488979628793,180.049962207722,-1.77448692714959e+57,-2.60203769370692e+56
5,101.176246414347,101.409468231156,767.15310258167,158.421774768312,-4.2283911531143e+52,-5.96981717862962e+51
1500,1500,1500,1500,1500,1500,1500
1,138.402911818428,138.636252439503,1020.34990349073,237.246330909304,-6.21599304907225e+68,-9.88193477799006e+67
2,127.774498115537,128.007811190255,948.002361356813,215.162493458064,-1.50539024549149e+64,-2.33604292651198e+63
3,117.140366415103,117.373647450893,875.658936181126,192.024133273709,-3.62496969566202e+59,-5.43490822591198e+58
4,106.499543185585,106.732786494139,803.320328906379,168.77850126794,-8.67068819220921e+54,-1.24548942990402e+54
5,95.8507831534596,96.0839813853816,730.987436129509,149.013953240455,-2.05757582065919e+50,-2.86761187569168e+49
1450,1450,1450,1450,1450,1450,1450
1,133.089367285373,133.322694633669,984.175655554531,231.982260493139,-3.06102904230244e+66,-4.93318672665568e+65
2,122.458202496584,122.691500179369,911.830094202459,206.320286904792,-7.39283896278775e+61,-1.14369492240663e+61
3,111.820861626677,112.054124600485,839.488979628793,182.441352829529,-1.77448692714959e+57,-2.6365974817903e+56
4,101.176246414347,101.409468231156,767.15310258167,164.113771055854,-4.2283911531143e+52,-6.18430901390771e+51
5,90.5229370759905,90.7561093087096,694.823485305287,141.881338627097,-9.98853270273916e+47,-1.39442086543732e+47
1400,1400,1400,1400,1400,1400,1400
1,127.774498115537,128.007811190255,948.002361356813,221.531979068371,-1.50539024549149e+64,-2.40519713441475e+63
2,117.140366415103,117.373647450893,875.658936181126,200.463395831855,-3.62496969566202e+59,-5.67376683558746e+58
3,106.499543185585,106.732786494139,803.320328906379,174.653960449821,-8.67068819220921e+54,-1.28884697989937e+54
4,95.8507831534596,96.0839813853816,730.987436129509,156.317588311147,-2.05757582065919e+50,-3.00816240944364e+49
5,85.1924577725828,85.4256012014039,658.66143040374,134.151177864448,-4.83619661205136e+45,-6.73396467969929e+44
1350,1350,1350,1350,1350,1350,1350
1,122.458202496584,122.691500179369,911.830094202459,212.916570098199,-7.39283896278775e+61,-1.18026008867425e+61
2,111.820861626677,112.054124600485,839.488979628793,192.768904381891,-1.77448692714959e+57,-2.78584871235675e+56
3,101.176246414347,101.409468231156,767.15310258167,168.225223762011,-4.2283911531143e+52,-6.33924113122704e+51
4,90.5229370759905,90.7561093087096,694.823485305287,148.800804336127,-9.98853270273916e+47,-1.462425914274e+47
5,79.8590531983008,80.0921645392574,622.501481697223,126.508165956166,-2.33472520636876e+43,-3.24370275735927e+42
1300,1300,1300,1300,1300,1300,1300
1,117.140366415103,117.373647450893,875.658936181126,206.184948278368,-3.62496969566202e+59,-5.83570539990434e+58
2,106.499543185585,106.732786494139,803.320328906379,182.181532526561,-8.67068819220921e+54,-1.34439618423515e+54
3,95.8507831534596,96.0839813853816,730.987436129509,161.798734811666,-2.05757582065919e+50,-3.11364112774817e+49
4,85.1924577725828,85.4256012014039,658.66143040374,139.377187768551,-4.83619661205136e+45,-6.9962938419937e+44
5,74.5223799051035,74.75545527925,586.343886468325,119.825435678784,-1.12343515311943e+41,-1.56950721242841e+40
1250,1250,1250,1250,1250,1250,1250
1,111.820861626677,112.054124600485,839.488979628793,197.666644649326,-1.77448692714959e+57,-2.85662964801254e+56
2,101.176246414347,101.409468231156,767.15310258167,174.043391873277,-4.2283911531143e+52,-6.55848750685682e+51
3,90.5229370759905,90.7561093087096,694.823485305287,151.315581098179,-9.98853270273916e+47,-1.48714133649128e+47
4,79.8590531983008,80.0921645392574,622.501481697223,131.88422655334,-2.33472520636876e+43,-3.38154636967459e+42
5,69.1820302325816,69.4150650131516,550.188938232541,113.123507131271,-5.38596609210452e+38,-7.5703129011561e+37
1200,1200,1200,1200,1200,1200,1200
1,106.499543185585,106.732786494139,803.320328906379,188.411113796005,-8.67068819220921e+54,-1.3903669540046e+54
2,95.8507831534596,96.0839813853816,730.987436129509,167.221971633482,-2.05757582065919e+50,-3.21800543710807e+49
3,85.1924577725828,85.4256012014039,658.66143040374,144.709878836916,-4.83619661205136e+45,-7.26397806119901e+44
4,74.5223799051035,74.75545527925,586.343886468325,123.235778654232,-1.12343515311943e+41,-1.61417684259915e+40
5,63.8375152450646,64.0705038522195,514.036989023554,106.498887741406,-2.57140359896208e+36,-3.64182769300171e+35
1150,1150,1150,1150,1150,1150,1150
1,101.176246414347,101.409468231156,767.15310258167,178.715234061176,-4.2283911531143e+52,-6.73453681440909e+51
2,90.5229370759905,90.7561093087096,694.823485305287,159.220638355593,-9.98853270273916e+47,-1.56483285596014e+47
3,79.8590531983008,80.0921645392574,622.501481697223,136.337127655042,-2.33472520636876e+43,-3.49571992892803e+42
4,69.1820302325816,69.4150650131516,550.188938232541,117.818944875328,-5.38596609210452e+38,-7.88453523948199e+37
5,58.4882415999034,58.7211772199336,477.88846604807,98.4080017410007,-1.22182841557705e+34,-1.71988816734234e+33
1100,1100,1100,1100,1100,1100,1100
1,95.8507831534596,96.0839813853816,730.987436129509,170.93853924253,-2.05757582065919e+50,-3.2895267489098e+49
2,85.1924577725828,85.4256012014039,658.66143040374,150.033360625376,-4.83619661205136e+45,-7.53120000369091e+44
3,74.5223799051035,74.75545527925,586.343886468325,129.682560545614,-1.12343515311943e+41,-1.69861860254902e+40
4,63.8375152450646,64.0705038522195,514.036989023554,110.313560187607,-2.57140359896208e+36,-3.77227393567085e+35
5,53.1334795589624,53.3663537519498,441.743894717547,89.4017649882441,-5.77386486057007e+31,-7.98755808732859e+30
1050,1050,1050,1050,1050,1050,1050
1,90.5229370759905,90.7561093087096,694.823485305287,163.076644828632,-9.98853270273916e+47,-1.60272998841813e+47
2,79.8590531983008,80.0921645392574,622.501481697223,141.947848508068,-2.33472520636876e+43,-3.63958029212417e+42
3,69.1820302325816,69.4150650131516,550.188938232541,121.056664728725,-5.38596609210452e+38,-8.10120596511689e+37
4,58.4882415999034,58.7211772199336,477.88846604807,100.651237484708,-1.22182841557705e+34,-1.75909346105733e+33
5,47.7723177374343,48.005119875666,405.603931229047,82.5256197310947,-2.71108802784431e+29,-3.77038310368631e+28
1000,1000,1000,1000,1000,1000,1000
1,85.1924577725828,85.4256012014039,658.66143040374,153.672472606138,-4.83619661205136e+45,-7.71387191111676e+44
2,74.5223799051035,74.75545527925,586.343886468325,134.718115215851,-1.12343515311943e+41,-1.76457571197861e+40
3,63.8375152450646,64.0705038522195,514.036989023554,114.008975835882,-2.57140359896208e+36,-3.89864208214123e+35
4,53.1334795589624,53.3663537519498,441.743894717547,94.5199582605174,-5.77386486057007e+31,-8.44484062609987e+30
5,42.4035973961558,42.6363138374901,369.469409874768,74.7690561058028,-1.26339164369048e+27,-1.74749887172154e+26
950,950,950,950,950,950,950
1,79.8590531983008,80.0921645392574,622.501481697223,146.203185231776,-2.33472520636876e+43,-3.74868824859371e+42
2,69.1820302325816,69.4150650131516,550.188938232541,125.852713936674,-5.38596609210452e+38,-8.42216130069881e+37
3,58.4882415999034,58.7211772199336,477.88846604807,105.802030521724,-1.22182841557705e+34,-1.84911447398378e+33
4,47.7723177374343,48.005119875666,405.603931229047,85.5303852684856,-2.71108802784431e+29,-3.90766310533468e+28
5,37.0258140790933,37.2584269096908,333.341413863053,68.764952500979,-5.83440241864105e+24,-8.22594893436554e+23
900,900,900,900,900,900,900
1,74.5223799051035,74.75545527925,586.343886468325,137.309999910112,-1.12343515311943e+41,-1.79852494569834e+40
2,63.8375152450646,64.0705038522195,514.036989023554,117.250157258353,-2.57140359896208e+36,-4.00947727030826e+35
3,53.1334795589624,53.3663537519498,441.743894717547,98.0040050600493,-5.77386486057007e+31,-8.75612112703732e+30
4,42.4035973961558,42.6363138374901,369.469409874768,78.1025616618279,-1.26339164369048e+27,-1.82540940719477e+26
5,31.6369649748642,31.869450021117,297.221385218098,61.5185843112632,-2.66470385867595e+22,-3.76927552858066e+21
850,850,850,850,850,850,850
1,69.1820302325816,69.4150650131516,550.188938232541,129.579278624124,-5.38596609210452e+38,-8.67154590205894e+37
2,58.4882415999034,58.7211772199336,477.88846604807,109.156718670038,-1.22182841557705e+34,-1.9077447514951e+33
3,47.7723177374343,48.005119875666,405.603931229047,89.8884843287501,-2.71108802784431e+29,-4.10677343149223e+28
4,37.0258140790933,37.2584269096908,333.341413863053,70.2264996535962,-5.83440241864105e+24,-8.40078526894201e+23
5,26.234301606003,26.4666251396516,261.111302843678,54.0403681514918,-1.20033387363167e+20,-16976214427812622336
800,800,800,800,800,800,800
1,63.8375152450646,64.0705038522195,514.036989023554,121.954191548005,-2.57140359896208e+36,-4.17033606149565e+35
2,53.1334795589624,53.3663537519498,441.743894717547,100.718956762766,-5.77386486057007e+31,-8.99868719307184e+30
3,42.4035973961558,42.6363138374901,369.469409874768,81.9633365615517,-1.26339164369048e+27,-1.91564325703355e+26
4,31.6369649748642,31.869450021117,297.221385218098,63.6545209243544,-2.66470385867595e+22,-3.90014547132168e+21
5,20.8139073949476,21.0460203464939,225.013986675638,46.4600577746054,-531195963891138176,-74941792448598464
