"num_round","Leader_P","Follower_P","Leader_Q","Follower_Q","Leader_R","Follower_R"
NA,NA,NA,NA,NA,NA,NA
10,10,10,10,10,10,10
1,95.8507831534596,96.0839813853816,730.987436129509,113.157848705083,-2.05757582065919e+50,-2.17760004159345e+49
2,85.1924577725828,85.4256012014039,658.66143040374,97.0271352461571,-4.83619661205136e+45,-4.87045519928442e+44
3,74.5223799051035,74.75545527925,586.343886468325,81.9810202100534,-1.12343515311943e+41,-1.07381042908822e+40
4,63.8375152450646,64.0705038522195,514.036989023554,68.0196029549268,-2.57140359896208e+36,-2.32599305928642e+35
5,53.1334795589624,53.3663537519498,441.743894717547,54.2750822923079,-5.77386486057007e+31,-4.84918136192675e+30
15,15,15,15,15,15,15
1,95.8507831534596,96.0839813853816,730.987436129509,117.104089595424,-2.05757582065919e+50,-2.25354116653778e+49
2,85.1924577725828,85.4256012014039,658.66143040374,102.620631065678,-4.83619661205136e+45,-5.15123099182167e+44
3,74.5223799051035,74.75545527925,586.343886468325,85.1362388936461,-1.12343515311943e+41,-1.11513836962634e+40
4,63.8375152450646,64.0705038522195,514.036989023554,72.3746407746425,-2.57140359896208e+36,-2.47491759429585e+35
5,53.1334795589624,53.3663537519498,441.743894717547,57.5123967362459,-5.77386486057007e+31,-5.1384176781371e+30
20,20,20,20,20,20,20
1,95.8507831534596,96.0839813853816,730.987436129509,124.888030348267,-2.05757582065919e+50,-2.40333466209396e+49
2,85.1924577725828,85.4256012014039,658.66143040374,106.09258178996,-4.83619661205136e+45,-5.32551193306396e+44
3,74.5223799051035,74.75545527925,586.343886468325,89.3304420678245,-1.12343515311943e+41,-1.17007522084639e+40
4,63.8375152450646,64.0705038522195,514.036989023554,75.6809491988711,-2.57140359896208e+36,-2.5879798603563e+35
5,53.1334795589624,53.3663537519498,441.743894717547,61.2087409417254,-5.77386486057007e+31,-5.46866578963591e+30
25,25,25,25,25,25,25
1,95.8507831534596,96.0839813853816,730.987436129509,126.411304207908,-2.05757582065919e+50,-2.43264841503353e+49
2,85.1924577725828,85.4256012014039,658.66143040374,110.827844075398,-4.83619661205136e+45,-5.5632071176077e+44
3,74.5223799051035,74.75545527925,586.343886468325,93.727180289017,-1.12343515311943e+41,-1.22766493299916e+40
4,63.8375152450646,64.0705038522195,514.036989023554,77.8267644708077,-2.57140359896208e+36,-2.66135799272121e+35
5,53.1334795589624,53.3663537519498,441.743894717547,63.1330361418552,-5.77386486057007e+31,-5.6405910272442e+30
30,30,30,30,30,30,30
1,95.8507831534596,96.0839813853816,730.987436129509,131.48370798297,-2.05757582065919e+50,-2.53026132300195e+49
2,85.1924577725828,85.4256012014039,658.66143040374,112.503416955667,-4.83619661205136e+45,-5.64731557474991e+44
3,74.5223799051035,74.75545527925,586.343886468325,95.7516754230659,-1.12343515311943e+41,-1.25418233889396e+40
4,63.8375152450646,64.0705038522195,514.036989023554,79.2295947747306,-2.57140359896208e+36,-2.7093290688306e+35
5,53.1334795589624,53.3663537519498,441.743894717547,65.8581792192028,-5.77386486057007e+31,-5.88406763678829e+30
35,35,35,35,35,35,35
1,95.8507831534596,96.0839813853816,730.987436129509,133.073447890552,-2.05757582065919e+50,-2.56085414292993e+49
2,85.1924577725828,85.4256012014039,658.66143040374,114.024096501467,-4.83619661205136e+45,-5.72364887657829e+44
3,74.5223799051035,74.75545527925,586.343886468325,96.6678727791103,-1.12343515311943e+41,-1.26618294919989e+40
4,63.8375152450646,64.0705038522195,514.036989023554,82.7019372580705,-2.57140359896208e+36,-2.82806902267988e+35
5,53.1334795589624,53.3663537519498,441.743894717547,66.1978797289696,-5.77386486057007e+31,-5.91441801694481e+30
40,40,40,40,40,40,40
1,95.8507831534596,96.0839813853816,730.987436129509,136.739799404622,-2.05757582065919e+50,-2.6314091004596e+49
2,85.1924577725828,85.4256012014039,658.66143040374,117.890105229999,-4.83619661205136e+45,-5.91771028284975e+44
3,74.5223799051035,74.75545527925,586.343886468325,98.7352948033518,-1.12343515311943e+41,-1.29326262355951e+40
4,63.8375152450646,64.0705038522195,514.036989023554,82.7019372580705,-2.57140359896208e+36,-2.82806902267988e+35
5,53.1334795589624,53.3663537519498,441.743894717547,68.321550710087,-5.77386486057007e+31,-6.10415638869038e+30
45,45,45,45,45,45,45
1,95.8507831534596,96.0839813853816,730.987436129509,139.075377526927,-2.05757582065919e+50,-2.67635476772419e+49
2,85.1924577725828,85.4256012014039,658.66143040374,120.373002795456,-4.83619661205136e+45,-6.04234388484457e+44
3,74.5223799051035,74.75545527925,586.343886468325,100.546783360854,-1.12343515311943e+41,-1.31699000948659e+40
4,63.8375152450646,64.0705038522195,514.036989023554,85.1563724567039,-2.57140359896208e+36,-2.91200069808634e+35
