num_round,Leader_P,Follower_P,Leader_Q,Follower_Q,Leader_R,Follower_R
NA,NA,NA,NA,NA,NA,NA
1.5,1.5,1.5,1.5,1.5,1.5,1.5
1,95.85078315,96.08398139,730.9874361,225.3626296,-2.06E+50,-4.34E+49
2,85.19245777,85.4256012,658.6614304,198.7551426,-4.84E+45,-9.98E+44
3,74.52237991,74.75545528,586.3438865,173.2195982,-1.12E+41,-2.27E+40
4,63.83751525,64.07050385,514.036989,147.8287494,-2.57E+36,-5.06E+35
5,53.13347956,53.36635375,441.7438947,124.1513988,-5.77E+31,-1.11E+31
2,2,2,2,2,2,2
1,95.85078315,96.08398139,730.9874361,207.9835614,-2.06E+50,-4.00E+49
2,85.19245777,85.4256012,658.6614304,183.2808403,-4.84E+45,-9.20E+44
3,74.52237991,74.75545528,586.3438865,159.0379601,-1.12E+41,-2.08E+40
4,63.83751525,64.07050385,514.036989,133.9145481,-2.57E+36,-4.58E+35
5,53.13347956,53.36635375,441.7438947,112.6436937,-5.77E+31,-1.01E+31
2.5,2.5,2.5,2.5,2.5,2.5,2.5
1,95.85078315,96.08398139,730.9874361,188.6248414,-2.06E+50,-3.63E+49
2,85.19245777,85.4256012,658.6614304,167.3428237,-4.84E+45,-8.40E+44
3,74.52237991,74.75545528,586.3438865,143.1211409,-1.12E+41,-1.87E+40
4,63.83751525,64.07050385,514.036989,120.8338083,-2.57E+36,-4.13E+35
5,53.13347956,53.36635375,441.7438947,100.4411706,-5.77E+31,-8.97E+30
3,3,3,3,3,3,3
1,95.85078315,96.08398139,730.9874361,171.7506947,-2.06E+50,-3.31E+49
2,85.19245777,85.4256012,658.6614304,148.9092148,-4.84E+45,-7.47E+44
3,74.52237991,74.75545528,586.3438865,130.1871438,-1.12E+41,-1.71E+40
4,63.83751525,64.07050385,514.036989,110.3135602,-2.57E+36,-3.77E+35
5,53.13347956,53.36635375,441.7438947,90.22863091,-5.77E+31,-8.06E+30
3.5,3.5,3.5,3.5,3.5,3.5,3.5
1,95.85078315,96.08398139,730.9874361,153.1720963,-2.06E+50,-2.95E+49
2,85.19245777,85.4256012,658.6614304,133.8938228,-4.84E+45,-6.72E+44
3,74.52237991,74.75545528,586.3438865,113.8123373,-1.12E+41,-1.49E+40
4,63.83751525,64.07050385,514.036989,95.14034647,-2.57E+36,-3.25E+35
5,53.13347956,53.36635375,441.7438947,78.95922934,-5.77E+31,-7.05E+30
4,4,4,4,4,4,4
1,95.85078315,96.08398139,730.9874361,134.5248836,-2.06E+50,-2.59E+49
2,85.19245777,85.4256012,658.6614304,118.0073316,-4.84E+45,-5.92E+44
